Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
641;US9581021055;Western Digital Corp.;US;Large;173;Electronic Technology;Information Technology;-58.16993464;48.37451235;67.62589928;#N/B;#N/B;26;184;220;377;341;153;769;2085;-287;-46;#N/B;#N/B;#N/B;#N/B;3.5;06/21/2021
642;JP3358000002;Shimano Inc.;JP;Large;173;Consumer Durables;#N/B;25.59574281;29.5035097;24.268505;27.36262659;25.10492808;23643;15775;18676;17680;16831;68402;54563;71224;71393;84820;#N/B;#N/B;#N/B;#N/B;1.8;06/21/2021
643;US8807701029;TERADYNE;US;Large;172;Electronic Technology;Information Technology;#N/B;50.86077359;3.424960614;11.08921738;12.97070526;40.424;53.775;72.811;81.41;106.577;-55.06;524.412;467.801;525.772;901.015;#N/B;#N/B;#N/B;#N/B;2.7;06/21/2021
644;CA3495531079;Fortis Inc.;CA;Large;172;Utilities;#N/B;16.8997669;34.32574431;11.36363636;13.49836525;14.4375;62;69;73;-37;-26;858;1713;1452;2141;1600;27.13065938;7.441019;5.268425;12541000;#N/B;#N/B
645;US92343E1029;VeriSign Inc.;US;Large;171;Technology Services;Information Technology;24.18006342;23.66630385;20.15404734;19.30437969;-8.616396799;14.303;28.294;84.906;89.974;132.683;581.173;599.012;729.516;758.776;750.244;#N/B;#N/B;#N/B;#N/B;2.1;06/21/2021
646;US5178341070;Las Vegas Sands Corp.;US;Large;171;Consumer Services;Consumer Discretionary;10.59866962;-6.843483955;11.27480457;12.40721103;#N/B;204;230;264;253;196;2255;3054;3326;3772;-2181;18.35616719;8.101486;8.648931;889687;3.9;06/21/2021
647;US0236081024;Ameren Corp.;US;Large;171;Utilities;Utilities;36.69548511;52.12669683;22.40075614;17.91338583;15.01937984;-12;-19;21;13;13;1041;1105;1058;1016;1032;#N/B;#N/B;#N/B;#N/B;3;06/21/2021
648;US83088V1026;SLACK TECHNOLOGIES A;US;Large;171;Technology Services;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;2.296;#N/B;-146.754;-139.27;-138.062;-567.768;#N/B;#N/B;#N/B;#N/B;#N/B;06/21/2021
649;BRPETRACNPR6;PETROLEO BRASILEIRO S.A. -PREF;BR;Large;171;Energy Minerals;#N/B;#N/B;144.0248447;41.73617297;35.12153335;-187.6397703;1284;2544;9505;9198;1656;-10074;4025;37047;46695;3309;#N/B;#N/B;#N/B;#N/B;2;06/21/2021
650;DE0006048432;HENKEL PREF;DE;Large;171;Consumer Non-Durables;#N/B;23.6516035;14.93983957;23.63934426;25.18676628;26.02597403;769;727;586;607;618;2744;2992;3050;2811;1925;#N/B;#N/B;#N/B;#N/B;4.4;06/21/2021
