"","company","year","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","doc_id","country","ctrygrp"
"32","DE0005557508",2020,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,2,0,"DE0005557508_2020_GC_0.pdf","DE","EUR"
"33","DE0005557508",2020,0,1,1,3,2,0,53,1,1,24,0,0,28,0,5,5,24,45,"DE0005557508_2020_SR_0.pdf","DE","EUR"
"34","DE0005810055",2016,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,1,0,"DE0005810055_2016_IR_0.pdf","DE","EUR"
"35","DE0005810055",2020,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,"DE0005810055_2020_GR_0.pdf","DE","EUR"
"36","DE0005810055",2020,0,0,0,2,1,0,7,6,0,2,0,3,2,0,0,6,5,27,"DE0005810055_2020_IR_0.pdf","DE","EUR"
"37","DE0006047004",2016,0,0,0,0,0,1,8,1,0,2,0,0,3,0,35,3,4,0,"DE0006047004_2016_SR_0.pdf","DE","EUR"
"38","DE0006047004",2020,0,0,0,0,0,10,6,1,2,1,0,1,23,0,32,3,8,1,"DE0006047004_2020_SR_0.pdf","DE","EUR"
"39","DE0006231004",2016,0,1,2,1,1,4,29,2,1,10,1,0,7,0,3,3,11,0,"DE0006231004_2016_IR_0.pdf","DE","EUR"
"40","DE0006231004",2016,0,1,2,1,1,4,15,1,1,9,1,0,4,0,3,2,10,0,"DE0006231004_2016_SR_0.pdf","DE","EUR"
"41","DE0006231004",2020,0,0,2,1,1,5,58,4,0,11,0,1,16,0,4,2,19,0,"DE0006231004_2020_IR_0.pdf","DE","EUR"
"42","DE0006231004",2020,0,0,2,1,1,5,19,3,0,11,0,1,9,0,4,2,16,0,"DE0006231004_2020_SR_0.pdf","DE","EUR"
"43","DE0006599905",2016,2,0,5,5,2,11,19,5,0,21,1,2,11,0,18,0,39,20,"DE0006599905_2016_SR_0.pdf","DE","EUR"
"44","DE0006599905",2020,1,0,15,1,3,10,23,2,0,6,0,3,46,0,17,4,17,16,"DE0006599905_2020_SR_0.pdf","DE","EUR"
"45","DE0007100000",2016,0,0,2,2,0,2,24,0,0,3,0,0,2,0,19,3,11,61,"DE0007100000_2016_SR_0.pdf","DE","EUR"
"46","DE0007100000",2020,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,"DE0007100000_2020_CR_0.pdf","DE","EUR"
"47","DE0007100000",2020,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"DE0007100000_2020_GR_0.pdf","DE","EUR"
"48","DE0007100000",2020,1,0,2,0,0,1,15,7,0,9,1,4,7,0,12,2,15,19,"DE0007100000_2020_SR_0.pdf","DE","EUR"
"49","DE0007164600",2016,4,1,11,1,3,0,21,7,0,1,0,1,10,0,1,10,6,19,"DE0007164600_2016_IR_0.pdf","DE","EUR"
"50","DE0007164600",2020,2,1,17,3,0,0,36,9,0,5,0,1,27,0,7,14,21,34,"DE0007164600_2020_IR_0.pdf","DE","EUR"
"51","DE0007165631",2016,0,0,0,1,0,0,0,5,0,1,0,1,3,0,3,1,1,0,"DE0007165631_2016_IR_0.pdf","DE","EUR"
"52","DE0007165631",2020,1,0,5,1,1,1,0,4,1,1,0,2,4,0,0,2,13,6,"DE0007165631_2020_IR_0.pdf","DE","EUR"
"53","DE0007664039",2016,2,0,0,0,0,4,9,4,0,7,6,1,5,0,21,6,35,15,"DE0007664039_2016_SR_0.pdf","DE","EUR"
"54","DE0007664039",2020,0,0,2,1,2,0,16,3,0,8,1,1,11,0,6,2,8,22,"DE0007664039_2020_SR_0.pdf","DE","EUR"
"55","DE0008404005",2016,8,1,3,4,4,2,40,5,2,43,0,0,44,0,2,7,29,16,"DE0008404005_2016_SR_0.pdf","DE","EUR"
"56","DE0008404005",2020,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,"DE0008404005_2020_GR_0.pdf","DE","EUR"
"57","DE0008404005",2020,2,1,56,3,7,1,48,3,1,7,2,0,161,0,7,3,37,44,"DE0008404005_2020_SR_0.pdf","DE","EUR"
"58","DE000A0D9PT0",2016,0,0,0,2,1,4,11,2,0,17,0,0,10,0,1,1,1,0,"DE000A0D9PT0_2016_SR_0.pdf","DE","EUR"
"59","DE000A0D9PT0",2020,0,0,0,6,6,2,14,12,2,2,1,8,52,0,0,11,24,107,"DE000A0D9PT0_2020_SR_0.pdf","DE","EUR"
"60","DE000A1EWWW0",2016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,"DE000A1EWWW0_2016_ER_0.pdf","DE","EUR"
"61","DE000A1EWWW0",2016,0,0,5,0,0,3,6,2,1,0,0,1,6,0,0,2,0,0,"DE000A1EWWW0_2016_SR_0.pdf","DE","EUR"
"62","DE000A1EWWW0",2020,0,0,1,0,0,0,16,0,0,0,0,0,1,0,1,2,0,0,"DE000A1EWWW0_2020_ER_0.pdf","DE","EUR"
"63","DE000A1EWWW0",2020,0,0,5,0,2,0,15,2,2,2,0,2,10,0,1,4,6,3,"DE000A1EWWW0_2020_IR_0.pdf","DE","EUR"
"64","DE000A1ML7J1",2016,0,0,1,0,0,2,10,0,0,7,0,0,8,0,3,0,0,0,"DE000A1ML7J1_2016_SR_0.pdf","DE","EUR"
"65","DE000A1ML7J1",2020,0,0,2,0,2,1,51,1,0,14,1,0,40,0,17,1,20,12,"DE000A1ML7J1_2020_SR_0.pdf","DE","EUR"
"66","DE000BAY0017",2016,0,12,5,1,0,6,18,2,0,2,0,1,3,0,11,1,15,2,"DE000BAY0017_2016_IR_0.pdf","DE","EUR"
"67","DE000BAY0017",2020,5,23,2,0,3,8,13,3,0,2,0,1,37,0,49,0,19,8,"DE000BAY0017_2020_SR_0.pdf","DE","EUR"
"68","DE000SYM9999",2016,3,7,8,0,0,2,0,5,1,2,0,3,1,0,48,6,5,0,"DE000SYM9999_2016_IR_0.pdf","DE","EUR"
"69","DE000SYM9999",2020,2,4,7,3,1,0,17,3,1,12,0,3,22,0,63,8,17,23,"DE000SYM9999_2020_GR_0.pdf","DE","EUR"
"70","DE000SYM9999",2020,1,0,10,0,0,0,2,4,2,3,0,6,18,0,22,2,16,15,"DE000SYM9999_2020_IR_0.pdf","DE","EUR"
"71","DK0010268606",2016,1,0,1,1,0,0,21,3,0,1,0,1,9,0,2,6,3,13,"DK0010268606_2016_SR_0.pdf","DK","EUR"
"72","DK0010268606",2020,0,0,1,4,4,0,13,12,0,4,0,9,15,0,11,5,30,0,"DK0010268606_2020_SR_0.pdf","DK","EUR"
"73","DK0010274414",2016,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"DK0010274414_2016_CR_0.pdf","DK","EUR"
"74","DK0010274414",2016,0,0,2,4,1,0,2,14,0,1,0,0,5,0,0,2,8,2,"DK0010274414_2016_GC_0.pdf","DK","EUR"
"75","DK0010274414",2016,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"DK0010274414_2016_SR_0.pdf","DK","EUR"
"76","DK0010274414",2020,0,0,23,1,1,0,8,5,0,6,0,0,27,0,5,7,6,40,"DK0010274414_2020_SR_0.pdf","DK","EUR"
"77","DK0060336014",2016,3,2,2,0,0,6,26,1,1,6,0,0,20,0,2,13,10,14,"DK0060336014_2016_IR_0.pdf","DK","EUR"
"78","DK0060336014",2020,0,3,1,0,2,6,18,1,0,7,0,0,25,0,9,4,4,27,"DK0060336014_2020_IR_0.pdf","DK","EUR"
"79","ES0105046009",2016,4,8,3,2,3,2,28,6,2,4,0,1,16,0,10,21,16,6,"ES0105046009_2016_IR_0.pdf","ES","EUR"
"80","ES0105046009",2020,2,3,18,1,8,5,43,11,0,10,4,2,74,0,13,18,27,78,"ES0105046009_2020_IR_0.pdf","ES","EUR"
"81","ES0109067019",2016,2,2,0,4,0,0,9,6,0,2,0,1,23,0,0,1,4,3,"ES0109067019_2016_IR_0.pdf","ES","EUR"
"82","ES0109067019",2020,1,0,8,0,1,2,23,10,0,8,1,0,51,0,3,7,14,23,"ES0109067019_2020_IR_0.pdf","ES","EUR"
"83","ES0109067019",2020,0,0,4,0,1,2,26,3,0,5,0,0,38,0,6,1,4,8,"ES0109067019_2020_SR_0.pdf","ES","EUR"
"84","ES0148396007",2016,6,3,39,7,12,15,23,17,3,17,2,14,12,0,29,19,37,34,"ES0148396007_2016_IR_0.pdf","ES","EUR"
"85","ES0148396007",2020,12,6,85,9,36,44,29,17,1,10,4,16,76,0,64,15,45,84,"ES0148396007_2020_IR_0.pdf","ES","EUR"
"86","ES0178430E18",2016,2,1,6,1,4,3,61,8,14,5,2,1,42,0,15,7,20,3,"ES0178430E18_2016_IR_0.pdf","ES","EUR"
